{index:1 , id: 12 , x:11, y:0},
{index:2 , id: 13 , x:12, y:0},
{index:3 , id: 14 , x:13, y:0},
{index:4 , id: 42 , x:11, y:1},
{index:5 , id: 43 , x:12, y:1},
{index:6 , id: 44 , x:13, y:1},
{index:7 , id: 64 , x:3, y:2},
{index:8 , id: 65 , x:4, y:2},
{index:9 , id: 66 , x:5, y:2},
{index:10 , id: 72 , x:11, y:2},
{index:11 , id: 73 , x:12, y:2},
{index:12 , id: 74 , x:13, y:2},
{index:13 , id: 94 , x:3, y:3},
{index:14 , id: 95 , x:4, y:3},
{index:15 , id: 96 , x:5, y:3},
{index:16 , id: 124 , x:3, y:4},
{index:17 , id: 125 , x:4, y:4},
{index:18 , id: 126 , x:5, y:4},
{index:19 , id: 232 , x:21, y:7},
{index:20 , id: 233 , x:22, y:7},
{index:21 , id: 234 , x:23, y:7},
{index:22 , id: 262 , x:21, y:8},
{index:23 , id: 263 , x:22, y:8},
{index:24 , id: 264 , x:23, y:8},
{index:25 , id: 292 , x:21, y:9},
{index:26 , id: 293 , x:22, y:9},
{index:27 , id: 294 , x:23, y:9},
{index:28 , id: 364 , x:3, y:12},
{index:29 , id: 365 , x:4, y:12},
{index:30 , id: 366 , x:5, y:12},
{index:31 , id: 372 , x:11, y:12},
{index:32 , id: 373 , x:12, y:12},
{index:33 , id: 374 , x:13, y:12},
{index:34 , id: 394 , x:3, y:13},
{index:35 , id: 395 , x:4, y:13},
{index:36 , id: 396 , x:5, y:13},
{index:37 , id: 402 , x:11, y:13},
{index:38 , id: 403 , x:12, y:13},
{index:39 , id: 404 , x:13, y:13},
{index:40 , id: 424 , x:3, y:14},
{index:41 , id: 425 , x:4, y:14},
{index:42 , id: 426 , x:5, y:14},
{index:43 , id: 432 , x:11, y:14},
{index:44 , id: 433 , x:12, y:14},
{index:45 , id: 434 , x:13, y:14},
{index:46 , id: 475 , x:24, y:15},
{index:47 , id: 476 , x:25, y:15},
{index:48 , id: 477 , x:26, y:15},
{index:49 , id: 505 , x:24, y:16},
{index:50 , id: 506 , x:25, y:16},
{index:51 , id: 507 , x:26, y:16},
{index:52 , id: 535 , x:24, y:17},
{index:53 , id: 536 , x:25, y:17},
{index:54 , id: 537 , x:26, y:17},
{index:55 , id: 648 , x:17, y:21},
{index:56 , id: 649 , x:18, y:21},
{index:57 , id: 650 , x:19, y:21},
{index:58 , id: 678 , x:17, y:22},
{index:59 , id: 679 , x:18, y:22},
{index:60 , id: 680 , x:19, y:22},
{index:61 , id: 708 , x:17, y:23},
{index:62 , id: 709 , x:18, y:23},
{index:63 , id: 710 , x:19, y:23},
{index:64 , id: 714 , x:23, y:23},
{index:65 , id: 715 , x:24, y:23},
{index:66 , id: 716 , x:25, y:23},
{index:67 , id: 721 , x:0, y:24},
{index:68 , id: 722 , x:1, y:24},
{index:69 , id: 723 , x:2, y:24},
{index:70 , id: 744 , x:23, y:24},
{index:71 , id: 745 , x:24, y:24},
{index:72 , id: 746 , x:25, y:24},
{index:73 , id: 751 , x:0, y:25},
{index:74 , id: 752 , x:1, y:25},
{index:75 , id: 753 , x:2, y:25},
{index:76 , id: 763 , x:12, y:25},
{index:77 , id: 764 , x:13, y:25},
{index:78 , id: 765 , x:14, y:25},
{index:79 , id: 774 , x:23, y:25},
{index:80 , id: 775 , x:24, y:25},
{index:81 , id: 776 , x:25, y:25},
{index:82 , id: 781 , x:0, y:26},
{index:83 , id: 782 , x:1, y:26},
{index:84 , id: 783 , x:2, y:26},
{index:85 , id: 793 , x:12, y:26},
{index:86 , id: 794 , x:13, y:26},
{index:87 , id: 795 , x:14, y:26},
{index:88 , id: 823 , x:12, y:27},
{index:89 , id: 824 , x:13, y:27},
{index:90 , id: 825 , x:14, y:27},
